"77544725950","سرمایه","IR369672987971934517104259","823391"
"77544725950","ملی","IR192158609927770179993590","618785"
"77544725950","تجارت","IR373282737567559941689199","386017"
"26294078308","تجارت","IR924627637195891920135761","933186"
"26294078308","تجارت","IR371568787863821524367918","400833"
"26294078308","ملی","IR261838675348817917295447","966900"
"78530251293","سرمایه","IR751374364258206348297025","855867"
"78530251293","سرمایه","IR975069622167026801387411","535158"
"78530251293","سرمایه","IR709643831134042481254901","441479"
"78530251293","ملت","IR305621664501851566591815","688518"
"89489374040","صادرات","IR105398301813911148941284","256739"
"53852970623","تجارت","IR200973413335732502862517","181806"
"53852970623","سرمایه","IR645724842985117471634514","734783"
"17939864931","تجارت","IR466161233602557053247245","655972"
"17939864931","سرمایه","IR507696343768807057342973","836043"
"17939864931","تجارت","IR962208504232578564529745","225777"
"17939864931","تجارت","IR122134007403587143496085","868758"
"57180696847","تجارت","IR913394559369859253968486","589861"
"57180696847","ملت","IR546784584800153800240654","241408"
"57180696847","صادرات","IR922544262357964529330824","209006"
"10836598581","صادرات","IR115101286607089368647885","729533"
"10836598581","صادرات","IR512411928472695982642431","630220"
"10836598581","ملت","IR972914120747646156128064","424164"
"78132631313","ملی","IR893014323987421434818952","949348"
"91763548751","تجارت","IR439369415551036350990758","809132"
"35906781337","سرمایه","IR912156049883532956480903","700950"
"47515815408","ملی","IR339195894878910582245232","752639"
"47515815408","ملی","IR823830245974452035153968","292629"
"47515815408","تجارت","IR755444361866502500329452","793008"
"47515815408","سرمایه","IR758806769890775427488617","793119"
"32872003105","ملی","IR566044269295810827619173","694162"
"32872003105","ملت","IR970073665860128991244511","446813"
"32872003105","سرمایه","IR598493834329544790638031","833733"
"31876830391","تجارت","IR712048882969179353468581","337772"
"81878779006","تجارت","IR427828312574368696386272","403899"
"81878779006","صادرات","IR400493317077450862487089","557995"
"81878779006","سرمایه","IR251770643579030802115329","205703"
"32468045647","ملت","IR324424637516736738344560","705821"
"32468045647","سرمایه","IR794837284943646801327826","590509"
"32468045647","ملی","IR992285235003936377665231","111802"
"16270661157","تجارت","IR464454727192182956380382","787382"
"16270661157","صادرات","IR677334410080019700993278","723743"
"16270661157","ملت","IR580099450766334152097994","586220"
"16270661157","ملی","IR963145813861978492819912","211535"
"46868635368","سرمایه","IR882438208476197655117665","730138"
"46868635368","صادرات","IR699518522779770738468705","607263"
"46868635368","سرمایه","IR380550487266987075599110","817840"
"46868635368","ملت","IR373518091171457634893035","432891"
"38465622758","ملت","IR780236929578711015271579","401046"
"38465622758","سرمایه","IR843463774524222874158240","565116"
"20421747371","سرمایه","IR580015582198189749707864","712607"
"20421747371","ملی","IR600279881582851117784179","663527"
"20421747371","ملی","IR829239664784763097885810","806788"
"49444050786","صادرات","IR726937827406888393335834","677270"
"49444050786","سرمایه","IR613000211084307086561029","829733"
"50139759497","ملی","IR647924684109091799566318","434790"
"50139759497","ملت","IR228717896297187250094798","599244"
"50139759497","صادرات","IR716060634906502669298249","131809"
"87243587117","تجارت","IR812406855068990361069954","613985"
"87243587117","ملت","IR991350609891245151742467","153684"
"50410456832","سرمایه","IR887788530406668364858944","519161"
"50410456832","صادرات","IR461448358490261429685859","245949"
"25148532726","ملت","IR827264941751433064069664","907473"
"25148532726","صادرات","IR797466156050520138386319","355148"
"25148532726","ملت","IR193586999550000141846783","156700"
"25148532726","ملی","IR357986137714366208913528","891077"
"27948080795","ملی","IR636477500055770106529140","832312"
"89730462994","سرمایه","IR702855235801757165933944","301315"
"58182359168","سرمایه","IR638243102086841958610453","506227"
"58182359168","تجارت","IR164144921650959850033039","776683"
"58182359168","صادرات","IR332078528997169207787860","627015"
"58182359168","تجارت","IR323387019759068132743102","395231"
"67934928652","تجارت","IR251204246060358923815849","307074"
"67934928652","تجارت","IR607124038917614161479173","577429"
"83725168934","ملت","IR872749484548687888445964","236782"
"83725168934","صادرات","IR285142031033901692970585","871588"
"83725168934","ملت","IR769644421634538455731325","478410"
"94481623211","صادرات","IR218469848908142968454935","445734"
"94481623211","ملت","IR662922041283256680406843","466893"
"61194432778","سرمایه","IR432126052410646846300386","819942"
"43490377172","صادرات","IR456731511897207750683030","669391"
"43490377172","صادرات","IR274356768395577588011137","710038"
"43490377172","صادرات","IR429284820120103956684597","793810"
"30560768829","سرمایه","IR931027116650872934254028","891452"
"30560768829","تجارت","IR916419590344870121150790","390661"
"78643759411","تجارت","IR306602976456852460319434","308879"
"78643759411","ملی","IR700928658899436850508238","262300"
"78643759411","صادرات","IR230054129077431742241208","139963"
"78106652139","ملی","IR838157285094729142692015","518943"
"89189330471","صادرات","IR832186266512579869860914","214460"
"89189330471","تجارت","IR519410148161932597346661","543155"
